lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
57,1,85.85,3,30,4,4,0,0,0,1
213,0,130.0,6,7,3,3,0,0,0,0
136,1,122.4,11,22,4,2,0,0,3,0
186,0,115.0,4,22,3,2,1,0,0,0
42,1,141.3,6,26,4,0,2,0,3,1
46,0,94.5,9,18,4,1,0,0,0,1
23,2,88.0,11,17,4,2,0,3,0,1
29,0,100.7,3,6,4,0,2,0,3,0
83,2,210.6,6,10,4,2,1,1,3,1
0,0,55.08,2,12,4,1,0,0,0,1
18,0,129.0,4,13,2,1,0,0,0,1
49,0,60.0,1,22,3,2,1,0,0,1
59,2,71.1,11,2,4,3,0,0,0,1
111,1,97.75,11,21,4,5,1,0,3,0
69,1,110.08,4,18,4,3,1,0,3,1
151,1,77.23,6,3,4,2,2,0,0,1
279,0,110.0,10,12,3,3,0,0,0,0
10,1,99.0,8,17,4,3,1,0,0,0
8,0,59.16,1,8,4,3,2,0,0,1
5,1,65.0,9,19,2,1,1,0,0,1
29,1,148.0,7,28,4,1,0,3,0,1
94,1,69.1,4,12,4,5,2,0,0,1
77,0,90.95,4,13,4,4,0,0,0,1
188,0,116.7,8,30,4,3,0,0,0,0
146,0,75.0,12,29,3,3,0,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
92,2,132.6,6,1,4,4,0,0,3,1
346,1,115.0,9,13,3,2,0,1,0,0
290,0,90.95,10,20,4,3,2,0,0,0
156,1,94.91,7,11,3,5,2,0,0,1
29,2,154.93,9,25,4,1,2,0,3,1
37,1,90.95,11,11,4,4,0,0,0,1
18,1,97.0,3,18,4,2,0,3,0,0
7,1,66.22,2,15,4,3,1,0,0,0
61,0,92.28,5,11,4,4,0,0,0,0
1,1,80.0,3,15,3,3,0,0,0,1
212,0,128.7,10,17,4,1,1,0,3,0
10,1,139.0,7,16,4,1,0,3,0,0
40,0,140.4,5,17,4,3,0,0,3,1
2,1,79.5,12,20,4,3,0,3,0,1
16,0,75.0,3,11,2,1,0,0,0,1
0,0,40.0,9,28,2,0,1,0,0,1
166,0,110.0,11,1,3,3,0,0,0,0
3,0,67.0,7,21,2,1,0,0,0,1
0,0,6.0,4,2,4,1,0,0,0,1
71,0,120.0,6,14,3,3,0,0,0,1
14,0,70.88,12,5,4,3,1,0,3,1
27,1,66.31,2,4,4,3,2,0,0,1
36,1,137.4,3,25,4,2,1,0,3,0
1,0,176.0,5,21,4,1,0,0,3,1
2,0,77.0,7,8,2,1,0,0,0,1
36,0,71.0,1,19,3,2,0,0,0,1
0,0,44.6,4,3,4,1,2,0,3,0
49,0,71.0,12,30,3,4,0,0,0,1
37,1,69.3,2,27,4,1,1,3,0,0
172,0,112.32,7,15,4,5,2,0,0,0
181,0,120.0,10,11,3,2,0,0,0,0
92,0,100.0,3,26,3,1,2,0,0,0
67,2,88.4,11,23,4,4,0,0,0,0
81,0,168.3,9,8,4,3,0,0,3,0
0,0,0.0,8,3,1,0,1,0,0,1
115,1,99.9,7,23,4,1,0,0,0,1
57,2,137.7,4,22,4,2,1,0,3,1
35,0,214.76,8,17,4,3,0,0,6,0
13,1,79.0,12,17,2,2,0,0,0,1
0,0,89.0,11,5,2,1,0,0,0,1
108,1,158.4,12,26,4,4,1,1,0,0
38,1,81.9,3,11,4,2,2,0,0,0
126,1,111.35,5,9,4,5,1,0,3,1
42,2,104.0,11,29,4,3,0,0,0,1
189,0,109.8,10,28,4,2,1,0,3,0
64,3,96.0,11,18,4,2,1,0,0,1
18,0,129.0,6,17,4,2,0,3,0,1
0,0,0.0,8,11,1,2,0,0,0,1
6,0,75.0,12,27,2,0,2,0,0,1
68,1,75.0,4,11,3,2,1,0,0,1
194,1,114.75,8,8,4,3,1,0,0,0
72,1,96.3,4,2,4,1,1,0,3,1
136,1,83.12,8,11,4,3,2,0,0,1
193,1,70.44,7,9,4,1,2,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
91,0,152.1,8,6,4,1,2,0,3,1
40,0,180.0,7,26,3,1,0,1,0,1
20,1,156.0,6,28,4,2,0,0,3,0
2,0,67.0,11,25,2,1,0,0,0,1
150,1,107.57,8,10,4,4,0,0,3,1
40,0,131.4,3,18,4,2,0,0,3,1
136,1,99.45,5,8,4,2,2,0,0,1
0,1,120.0,10,13,4,1,0,3,0,1
131,0,105.3,8,2,4,4,0,0,0,0
33,0,85.5,5,29,3,1,2,0,0,1
4,0,164.0,6,14,4,2,0,1,0,0
80,2,72.25,11,20,4,2,0,0,0,1
67,1,142.2,7,20,4,2,0,0,3,0
5,0,167.0,8,21,4,0,1,0,0,0
23,0,140.4,5,21,4,1,0,0,3,0
2,2,98.0,8,7,4,0,1,3,0,1
151,1,79.2,11,25,4,2,0,3,0,0
45,2,106.2,11,5,4,1,1,0,3,1
57,0,75.33,6,10,3,2,1,0,0,1
60,3,149.77,9,29,4,2,0,1,3,1
183,2,80.1,10,29,4,1,2,3,0,0
292,0,90.0,7,21,3,2,0,1,0,1
5,0,84.0,9,26,2,0,1,0,0,1
109,2,97.75,11,21,4,4,1,0,3,1
5,0,100.0,5,24,2,2,0,0,0,1
17,0,95.0,10,3,2,1,1,0,0,1
173,1,94.5,8,13,4,1,2,3,0,0
85,2,114.3,7,2,4,1,1,0,0,1
109,0,114.25,12,26,4,3,1,0,0,0
4,1,146.0,6,7,4,4,0,0,3,1
61,1,93.6,12,8,4,3,0,0,0,1
56,0,82.0,9,17,3,2,0,1,0,1
24,0,85.0,9,20,3,4,2,0,0,1
15,2,200.0,11,7,4,2,1,0,0,1
235,1,94.5,8,31,4,3,0,3,0,0
270,0,80.0,4,20,3,4,0,0,0,1
61,0,91.0,10,4,3,0,2,0,0,1
88,1,126.9,6,2,4,3,0,0,0,1
11,2,73.6,2,12,3,2,1,0,3,1
290,0,86.7,12,1,4,3,1,0,3,0
14,1,120.0,10,5,4,0,1,0,0,1
37,0,115.32,6,26,4,1,2,0,0,0
110,3,168.1,7,30,4,1,2,0,5,1
4,1,139.33,9,30,4,3,0,3,0,1
1,0,98.0,8,9,4,0,1,3,0,1
56,0,120.0,6,8,3,1,0,0,0,1
31,0,63.0,3,17,3,5,2,0,0,1
37,0,94.5,4,23,4,1,1,3,0,1
111,2,88.4,12,24,4,2,2,0,0,1
63,0,75.0,11,28,3,3,1,0,0,1
92,1,78.54,3,30,4,4,0,3,0,1
15,0,81.0,2,19,2,1,0,0,0,1
1,0,80.0,2,19,2,1,0,0,0,1
304,0,89.0,11,3,4,3,0,0,0,0
24,1,118.15,7,2,4,1,0,0,0,1
85,1,82.45,3,29,4,4,0,0,0,1
359,1,105.0,9,16,4,2,2,0,0,0
69,2,99.45,4,13,4,4,0,0,0,1
47,2,93.6,12,17,4,2,2,0,0,1
6,0,87.0,12,18,4,2,1,0,0,1
3,0,120.0,9,19,2,1,1,0,0,0
37,2,145.8,9,21,4,3,1,0,0,1
112,2,92.65,8,24,3,4,0,0,4,1
11,0,160.0,5,24,3,3,0,1,0,1
158,0,96.3,8,29,4,2,1,0,0,0
32,1,60.0,1,1,3,3,2,0,0,1
86,0,105.0,9,24,3,2,0,0,0,1
38,1,0.0,12,5,1,1,1,0,0,1
92,0,87.3,3,18,4,2,0,0,3,1
48,0,158.4,10,15,4,2,2,0,3,1
7,1,99.0,3,9,4,4,0,0,0,1
180,0,70.0,10,16,3,1,0,0,0,0
5,0,134.0,6,29,4,4,0,3,0,0
5,0,79.0,2,13,4,1,2,3,0,0
3,0,65.0,10,27,2,1,0,0,0,1
14,1,71.6,1,15,4,1,0,0,0,1
0,1,0.0,1,20,1,1,0,0,6,1
96,0,63.75,8,27,3,1,2,3,0,1
56,1,100.67,11,11,4,2,1,0,0,0
53,0,88.4,11,21,4,3,1,0,0,1
99,0,65.0,10,30,4,2,2,0,0,0
158,1,114.75,5,25,4,4,0,0,0,0
4,1,112.0,5,21,3,1,1,1,0,1
257,0,101.5,7,1,3,2,0,1,0,0
256,0,90.0,6,15,3,2,0,1,0,1
126,0,130.5,8,6,4,1,2,0,0,0
58,0,123.3,3,28,4,0,1,0,3,0
0,0,138.0,8,12,4,3,0,0,0,1
71,0,75.0,11,25,3,2,0,0,0,1
41,0,85.0,3,16,3,3,0,0,0,1
162,0,70.0,9,17,3,3,0,0,0,1
18,0,137.67,3,19,4,1,2,0,0,0
180,1,130.05,8,10,4,4,0,0,3,0
164,0,100.0,10,2,3,2,0,0,0,1
0,0,133.0,12,10,4,1,0,0,3,1
35,1,109.8,8,30,4,4,0,0,0,0
5,0,95.0,5,30,2,1,1,0,0,1
79,0,88.5,4,17,4,1,2,3,0,0
12,0,128.06,3,30,4,15,6,0,3,0
12,0,171.0,2,3,4,2,0,0,5,0
39,0,101.5,8,14,3,2,0,1,0,1
41,1,143.4,5,17,4,3,0,0,3,1
1,1,181.0,8,2,4,1,0,0,3,1
5,1,65.0,11,15,2,3,0,0,0,1
20,1,74.8,12,22,4,3,1,3,0,1
5,0,119.0,5,31,4,2,0,3,0,1
183,1,112.0,8,9,4,3,0,0,0,0
29,1,100.28,3,10,4,3,2,0,0,1
12,0,86.0,2,6,4,1,1,0,0,1
175,2,83.01,11,12,4,2,2,0,0,1
221,1,90.95,8,14,4,5,4,0,0,1
258,0,100.3,10,2,4,5,2,0,0,0
3,0,170.0,9,12,4,1,1,0,3,0
33,0,64.0,1,25,2,1,1,0,0,1
4,0,83.93,4,15,4,2,1,3,0,0
16,0,93.0,2,18,4,3,0,0,0,1
159,2,85.0,11,22,4,4,0,0,0,1
226,0,70.0,10,29,4,2,2,0,0,0
43,2,80.39,6,8,4,1,0,0,0,1
21,1,99.33,10,3,4,2,1,3,0,1
132,0,72.25,7,1,3,2,1,0,0,1
188,1,105.5,10,18,4,2,0,0,0,0
163,0,115.0,10,15,3,1,0,0,0,0
5,0,89.0,4,19,4,1,0,3,0,1
128,0,104.18,5,5,4,3,0,0,1,1
130,0,102.58,3,25,4,2,1,0,1,1
2,0,131.0,5,30,4,0,1,0,0,1
4,0,104.0,4,16,4,1,1,3,0,1
333,0,73.95,12,10,4,3,2,0,0,0
275,0,90.0,10,5,3,4,1,0,0,0
7,2,115.0,9,5,4,1,0,3,0,1
14,1,124.0,8,31,4,1,0,0,0,1
244,1,85.5,9,3,4,1,0,3,0,0
0,0,170.0,9,29,4,1,0,3,0,1
165,0,99.45,8,8,4,5,2,0,0,0
150,0,120.82,7,7,4,5,2,0,0,0
56,0,135.9,9,10,4,1,2,0,0,0
75,1,88.4,12,21,4,4,2,0,0,1
346,0,90.0,9,13,3,2,0,1,0,1
13,2,119.0,6,9,4,1,0,0,0,1
99,0,81.0,2,19,2,1,0,0,0,1
35,0,129.87,6,27,4,2,1,0,3,0
301,0,90.0,7,30,3,1,1,1,0,1
40,0,189.9,4,6,4,1,0,0,5,0
183,1,110.0,9,8,3,3,0,0,0,0
34,1,170.4,10,8,4,1,2,0,3,0
2,0,159.07,9,14,2,2,0,0,5,1
20,0,66.0,1,10,2,0,1,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
269,0,70.0,12,29,3,3,2,0,0,1
245,0,110.0,7,6,4,4,2,0,0,0
280,0,110.0,9,19,4,2,1,0,0,0
30,1,150.3,1,15,4,2,0,0,5,1
17,1,69.5,1,23,4,1,0,3,0,1
205,0,80.75,8,4,4,3,1,3,0,0
221,0,71.28,12,31,3,1,1,0,0,1
79,0,60.0,12,11,3,2,1,0,3,1
106,0,121.37,7,19,4,5,2,0,3,0
77,3,74.8,11,17,4,3,1,3,0,1
349,0,80.0,10,4,4,5,1,0,0,0
4,1,73.92,4,18,4,1,1,0,0,1
101,0,107.1,8,6,4,1,2,3,0,0
92,2,112.5,8,22,4,0,1,0,0,1
5,0,0.0,10,21,4,1,0,0,0,1
18,0,156.0,5,13,4,1,0,0,3,0
26,1,139.0,9,25,4,1,2,0,0,1
66,1,108.0,10,20,4,2,0,0,1,1
207,1,80.75,7,28,4,4,2,3,0,1
2,0,79.0,11,9,1,2,1,0,0,1
269,0,102.51,10,10,4,4,1,0,0,0
91,0,65.0,9,14,2,2,0,0,0,1
267,0,95.0,9,30,4,2,1,0,0,0
2,0,58.0,12,9,3,3,0,0,0,1
19,0,90.0,6,22,2,2,0,0,0,1
126,0,79.2,11,5,4,1,1,3,0,1
21,2,105.0,9,5,4,1,1,0,0,1
175,0,104.1,9,30,4,2,1,3,0,0
